STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35
169109,1691,10000,-7,0,0,2,1,7,1,3,49.92,-0.16,2,2,-7
169110,1691,60000,50,0,1,5,1,7,-4,3,35.07,0.13,3,2,1
169111,1691,8000,12,0,0,5,2,7,0,8,60.1,0.75,3,2,0
169112,1691,10000,30,0,0,4,2,7,0,6,58.09,0.85,1,2,0
169113,1691,39000,40,0,0,2,1,7,0,5,46.96,-0.34,3,2,1
169114,1691,26000,40,0,0,2,1,7,0,3,54.4,0.1,3,2,1
169116,1691,16000,44,0,0,4,1,7,-7,6,64.48,0.77,2,1,-3
169201,1692,30000,40,0,0,6,2,7,1,3,45.78,-0.04,3,2,1
169202,1692,50000,40,0,0,4,2,7,-4,4,52.02,-0.36,2,2,0
169203,1692,27000,40,0,0,2,1,7,0,3,51.71,-0.73,3,3,0
169204,1692,-4,-4,0,0,2,2,7,0,-4,50.3,-0.95,-4,-4,-4
169205,1692,38000,90,0,0,4,1,7,-4,4,38.59,-0.6,3,2,1
169206,1692,-4,-4,0,0,2,1,7,0,-4,35.97,-0.84,-4,-4,-4
169207,1692,18000,30,0,0,6,2,7,0,3,67.76,0.49,3,2,0
169208,1692,22000,-7,0,1,2,2,7,0,3,57.49,-0.66,2,3,-7
169209,1692,32000,40,0,0,2,1,7,0,2,47.22,-0.43,4,2,0
169210,1692,17000,40,0,0,1,1,5,1,3,35.29,-0.92,1,2,-9
169211,1692,18000,40,0,0,2,2,7,0,6,45.33,-0.82,3,2,0
169212,1692,-4,-4,0,0,2,1,7,1,-4,38.31,-1.01,-4,-4,-4
169213,1692,50000,-7,0,0,2,1,7,-7,4,52.28,-0.23,3,2,-7
169214,1692,0,-3,0,1,2,2,6,-4,2,45.59,-1.02,4,2,-3
169215,1692,21000,37,0,0,2,2,7,0,6,54.34,-0.49,3,2,1
169216,1692,25000,-9,0,0,2,2,7,1,3,54.74,-1.03,3,2,0
169217,1692,33000,60,0,0,2,1,7,1,4,51.08,-0.5,3,2,1
169218,1692,30000,50,0,0,5,2,7,0,3,48.6,-0.06,1,2,0
169219,1692,17000,10,0,0,3,2,7,0,10,59.1,0.03,3,2,0
169221,1692,-4,-4,0,0,6,1,7,0,-4,63.26,-0.21,-4,-4,-4
169222,1692,38000,50,0,0,1,1,7,0,2,36.34,-1.55,4,2,1
169223,1692,0,-3,0,0,1,2,7,-4,2,38.41,-1.11,4,2,-3
169224,1692,25000,40,0,0,2,2,7,0,8,50.29,-0.32,3,2,1
169225,1692,5000,25,0,0,6,2,7,0,6,56.21,-0.11,3,2,0
169226,1692,-4,-4,0,0,6,-8,-8,0,-4,-8,-8,-4,-4,-4
169227,1692,3000,20,1,1,2,2,6,1,4,41.35,-0.77,3,2,0
169228,1692,12000,60,0,0,4,1,7,0,6,47.71,0.19,3,2,0
169229,1692,28000,40,0,0,2,2,7,0,4,47.12,-0.5,3,2,0
169230,1692,55000,40,0,0,3,1,1,0,3,43.62,0.17,3,2,1
170101,1701,21000,40,0,0,1,2,7,0,8,50.02,-0.5,3,2,0
170102,1701,-4,-4,0,0,6,2,7,0,-4,38.93,-0.67,-4,-4,-4
170103,1701,-4,-4,0,0,3,2,7,0,-4,55.7,-0.29,-4,-4,-4
170104,1701,20000,35,0,0,3,2,7,1,3,45.77,-0.07,1,2,0
170105,1701,28000,40,0,0,3,1,7,1,3,53.75,-0.15,3,2,0
170106,1701,-4,-4,0,1,1,1,7,-4,-4,29.55,0.2,-4,-4,-4
170108,1701,15000,40,0,0,7,2,7,0,6,53.72,1.27,3,2,0
170109,1701,2000,25,0,0,3,2,5,0,3,44.04,-0.29,1,2,-3
170110,1701,20000,40,0,0,2,2,7,1,4,38.54,-0.16,3,2,0
170112,1701,27000,40,0,1,1,2,7,1,2,52.89,-0.64,4,2,0
170113,1701,10000,40,0,0,6,2,7,-4,3,53.82,1.05,3,3,1
170114,1701,22000,40,0,0,1,2,7,0,4,48.13,-0.68,3,2,0
170115,1701,15000,40,0,0,-4,-4,-4,-4,3,52.72,-4,3,2,0
170117,1701,16000,40,0,1,3,1,6,1,1,31.36,-0.29,4,2,1
170118,1701,31000,45,0,0,3,2,7,0,3,48.62,0.61,3,2,0
170119,1701,46000,40,0,0,2,1,7,0,6,52.7,0.17,3,2,0
170120,1701,-4,-4,0,0,2,1,7,1,-4,55.9,-0.58,-4,-4,-4
170121,1701,2500,35,0,1,1,2,7,-4,1,42.55,-0.93,4,2,0
170122,1701,19000,43,1,1,2,2,7,1,3,49.06,-0.4,1,3,0
170123,1701,25000,40,0,0,2,1,7,1,4,44.88,-0.08,3,2,1
170124,1701,30000,40,0,0,5,1,7,0,6,53.16,0.18,3,2,0
170125,1701,10000,20,0,0,4,2,7,1,3,52.45,0.13,1,2,0
170126,1701,21000,40,0,0,1,2,7,1,3,54.58,-0.46,1,2,1
