,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
1206,124225,1242,9000,38,0,0,2,1,7,0,2,52.38,-0.71,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,9.104979856
1207,124226,1242,50000,40,0,0,1,2,7,0,8,61.73,-0.61,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,10.81977828
1208,124227,1242,19500,38,0,0,2,2,7,0,6,57.68,0.05,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.878169745
1210,124229,1242,120000,40,0,0,7,2,2,1,10,65.51,1.15,3,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,8,11.69524702
1212,125101,1251,6000,8,1,1,2,1,6,1,3,58.94,-1.08,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,8.699514748
1213,125102,1251,12000,33,0,0,2,2,7,0,8,61.79,-0.76,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,6,9.392661929
1214,125103,1251,16000,50,0,0,7,2,7,0,3,58.94,0.98,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.680344001
1215,125104,1251,20000,25,0,0,2,2,7,0,6,64.04,0.02,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.903487553
1216,125105,1251,36000,40,0,0,4,1,7,0,6,62.13,-0.53,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.49127422
1218,125107,1251,28000,40,0,0,6,1,7,0,6,58.04,0.87,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.23995979
1221,125110,1251,34000,40,0,1,2,1,5,0,1,42.4,-0.86,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,10.4341158
1223,125112,1251,12000,40,0,0,2,2,7,1,3,50.13,0.66,3,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.392661929
1225,125114,1251,65000,70,0,0,6,2,7,0,10,62.59,0.6,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,8,11.08214255
1229,125118,1251,4500,45,0,0,4,1,7,0,6,53.71,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,8.411832676
1230,125119,1251,65000,43,0,0,7,1,7,0,6,63.29,0.99,3,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,0,0,0,0,1,4,11.08214255
1231,125120,1251,35000,50,0,0,4,1,7,0,6,47.73,0.59,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.46310334
1232,125121,1251,75000,60,0,0,2,1,7,0,6,55.7,-0.42,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.22524339
1234,125123,1251,33000,48,0,0,2,1,7,0,4,41.11,0.16,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.40426284
1236,125125,1251,37000,40,0,0,3,1,7,1,2,40.67,-0.47,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.51867319
1241,125131,1251,45000,30,0,0,4,1,2,0,6,64.03,-0.44,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,4,10.71441777
1242,125132,1251,18000,45,0,0,3,2,5,1,3,50.45,0.87,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,9.798127037
1245,125203,1252,11000,40,0,0,3,1,7,1,2,49.99,-0.43,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.305650552
1252,125212,1252,50000,40,0,0,2,1,7,0,2,55.61,0.18,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.81977828
1255,125218,1252,41000,45,1,1,2,1,7,1,5,45.45,-0.74,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,1,2,10.62132735
1264,126109,1261,25000,40,0,0,3,1,7,1,2,42.68,0.31,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.1266311
1267,126117,1261,55000,32,0,0,1,2,7,0,6,54.56,-0.78,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.91508846
1268,126118,1261,25000,50,0,0,4,1,7,0,3,50.68,0.17,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.1266311
1269,126119,1261,4000,40,0,0,3,1,7,0,2,34.59,-0.25,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,8.29404964
1270,126120,1261,38000,45,0,0,4,1,7,0,6,66.7,0.43,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.54534144
1272,126123,1261,36000,40,0,0,2,2,7,0,6,54.47,-0.16,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.49127422
1273,126124,1261,58000,40,0,0,7,2,7,0,7,56.04,1.13,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,5,10.96819829
1278,126206,1262,48000,40,0,0,5,1,7,0,6,56.19,0.14,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,10.77895629
1279,126207,1262,70000,55,0,0,3,1,7,0,7,60.86,0.15,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,5,11.15625052
1280,126208,1262,34000,35,0,0,7,2,7,0,6,63.25,1.31,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.4341158
1282,126210,1262,48000,60,0,0,3,2,7,0,3,40.11,0.94,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,10.77895629
1284,126212,1262,50000,50,0,0,6,2,7,0,4,57.45,0.86,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.81977828
1286,126214,1262,14000,38,0,0,6,1,7,0,3,60.14,0.77,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.546812609
1287,126215,1262,55000,40,0,0,5,1,7,0,4,47.36,0.34,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.91508846
1292,126220,1262,120000,60,0,0,7,2,7,0,6,64.68,1.63,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.69524702
1293,126221,1262,41000,40,0,0,6,1,7,0,3,51.79,0.71,3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.62132735
1298,126227,1262,39000,38,0,0,2,2,7,1,6,59.65,0.25,3,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.57131693
1299,126228,1262,20000,30,0,0,6,2,7,0,6,57.35,1.22,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.903487553
1301,126230,1262,34000,60,0,0,5,1,7,0,6,49.92,0.35,3,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.4341158
1302,126231,1262,19000,40,0,0,3,2,7,0,7,60.3,-0.13,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,5,9.852194258
1304,127102,1271,2000,35,0,0,2,1,7,0,2,34.81,-0.42,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,7.60090246
1305,127103,1271,23000,45,0,0,2,2,7,0,3,42.17,-1,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.04324949
1306,127104,1271,24000,40,0,0,2,2,7,0,3,57.75,0.43,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,10.08580911
1310,127113,1271,4000,20,0,0,2,1,6,0,10,60.9,-0.76,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,8,8.29404964
1313,127116,1271,28000,46,0,0,2,2,7,1,8,52.07,-0.91,3,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,6,10.23995979
1314,127118,1271,20000,40,0,0,7,1,7,0,3,44.65,0.39,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.903487553
1315,127119,1271,2000,70,0,0,2,1,7,0,6,43.06,-0.01,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,7.60090246
1317,127121,1271,32000,60,0,0,3,2,7,0,6,67.38,0.56,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.37349118
1319,127124,1271,27000,35,0,0,5,2,7,1,3,41.57,-0.03,3,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.20359214
1322,127201,1272,24000,32,0,0,2,2,7,1,2,62.24,-0.58,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.08580911
1324,127204,1272,38000,45,0,1,2,1,7,0,1,43.61,-0.51,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,10.54534144
1327,127208,1272,9500,35,0,0,2,1,7,1,3,56.94,0.33,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.159047078
1333,127215,1272,40000,40,0,0,2,2,7,1,4,55.95,0.07,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,1,10.59663473
1334,127217,1272,65000,40,0,0,6,1,7,0,6,74.83,1.29,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.08214255
1338,127221,1272,38000,40,0,0,4,1,7,0,6,63.99,0.31,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.54534144
1343,127228,1272,55000,40,0,0,3,1,7,0,4,66.52,0.43,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.91508846
1344,127229,1272,25000,55,0,0,5,1,7,1,6,71.35,0.53,3,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,4,10.1266311
1349,128103,1281,25000,80,0,0,6,1,1,1,5,56.54,0.62,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,10.1266311
1350,128104,1281,100,45,0,0,4,2,7,0,3,52.75,0.36,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,4.605170186
1352,128106,1281,22000,50,0,0,2,1,7,0,2,64.91,-0.03,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.998797732
1353,128107,1281,30000,45,0,0,3,2,7,1,4,39.65,-0.81,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,1,10.30895266
1359,128115,1281,68000,45,0,0,6,2,7,0,6,71.5,1.35,3,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,11.12726298
1361,128118,1281,25000,40,0,0,4,2,7,0,6,49.46,-0.37,3,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.1266311
1365,128125,1281,20000,45,0,0,4,2,7,1,6,47.02,0.37,3,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.903487553
1366,128201,1282,20000,38,0,0,2,1,7,1,2,46.85,-1.02,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,9.903487553
1367,128202,1282,35000,40,0,0,3,2,6,0,2,48.87,0.13,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,10.46310334
1372,128207,1282,24000,45,0,0,2,2,7,0,6,54.24,-0.79,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.08580911
1373,128208,1282,32000,65,0,0,2,2,7,1,5,65.67,-0.32,3,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,10.37349118
1374,128209,1282,20000,8,0,0,3,2,7,1,4,43.29,-0.49,3,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,1,9.903487553
1375,128210,1282,23000,40,0,1,2,2,7,0,4,45.19,-0.59,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,1,10.04324949
1377,128212,1282,18000,28,0,0,3,2,6,1,6,48.74,-0.05,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,4,9.798127037
1379,128214,1282,53000,40,1,0,1,2,7,0,3,45.57,-0.93,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,7,0,0,0,0,1,0,10.87804719
1383,129102,1291,52000,35,0,0,2,2,7,0,8,59.68,0.06,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,10.858999
1386,129105,1291,20000,40,0,0,5,2,7,1,6,63.2,0.28,3,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.903487553
1391,129112,1291,60000,40,0,0,6,2,7,0,8,63.59,0.74,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,11.00209984
1393,129114,1291,33000,50,0,0,3,1,7,0,3,40.15,0.03,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.40426284
1402,129123,1291,48000,40,0,0,2,2,7,0,8,59.63,-0.86,3,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,6,10.77895629
1404,129125,1291,43000,50,0,0,6,1,6,0,6,48.43,-0.29,3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,4,10.66895539
1407,129128,1291,25000,40,0,0,2,1,3,0,6,52.27,-1.19,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,4,10.1266311
1410,129203,1292,11000,50,0,1,2,1,7,1,1,56.55,-0.42,4,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,9.305650552
1413,129206,1292,38000,75,0,0,2,1,7,0,2,45.91,-0.46,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.54534144
1415,129208,1292,11000,33,0,0,2,2,7,0,6,62.04,0.21,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.305650552
1418,129212,1292,15000,40,0,0,6,2,7,0,6,52.74,1.05,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,9.61580548
1420,129214,1292,36000,45,0,0,3,1,7,1,3,55.01,-0.26,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,10.49127422
1421,129215,1292,36000,40,0,0,2,1,7,0,2,49.4,-0.59,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.49127422
1423,129218,1292,10000,20,0,1,2,2,7,0,1,53.01,-0.42,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,9.210340372
1424,129219,1292,36000,45,0,0,2,1,7,0,6,49.04,-0.02,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.49127422
1428,129226,1292,25000,40,0,0,3,1,7,0,6,55.34,-0.18,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.1266311
1429,129227,1292,35000,70,0,0,3,2,7,0,6,53.36,0.72,3,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.46310334
1432,130101,1301,50000,40,0,0,5,2,2,0,8,55.45,0.17,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,6,10.81977828
1434,130104,1301,16000,40,0,0,3,2,7,0,3,54.21,-0.16,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,9.680344001
1436,130106,1301,16000,25,0,0,5,2,7,1,6,48.33,-0.47,3,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,9.680344001
1441,130111,1301,10000,30,0,0,4,2,7,0,5,54.96,-0.02,3,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,2,9.210340372
1446,130118,1301,27000,40,0,0,5,2,3,1,3,35.04,0.01,3,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,10.20359214
1448,130121,1301,48000,45,0,0,2,1,7,1,6,56.18,-0.7,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,10.77895629
1450,130124,1301,36000,40,0,0,6,1,1,1,5,58.27,0.37,3,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,10.49127422
1452,130202,1302,20000,50,0,0,4,2,6,0,3,38.01,-0.27,3,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,9.903487553
1455,130205,1302,12000,25,0,0,1,2,2,0,3,45.2,-0.5,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,9.392661929
1470,130221,1302,9000,48,0,0,2,2,2,0,3,39.33,-0.73,3,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,9.104979856
1473,130225,1302,26000,60,0,0,2,2,3,0,3,39.41,-0.52,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,10.16585182
1474,130226,1302,17000,40,0,0,5,1,3,1,3,32.7,0.61,3,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,9.740968623
1480,131106,1311,11000,25,1,1,1,1,3,1,3,33.18,-0.29,3,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,9.305650552
1494,131201,1312,2000,16,0,1,6,2,3,1,1,45.86,0.3,4,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,7.60090246
1498,131209,1312,17000,35,1,1,1,1,3,0,3,34.38,-1.36,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,9.740968623
1501,131217,1312,4500,18,0,0,2,1,7,0,2,31.68,-0.78,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,8.411832676
1507,131229,1312,160000,40,0,0,2,2,3,0,4,34.04,-0.82,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,1,11.98292909
1508,131231,1312,20000,30,0,0,4,1,3,1,6,49.23,-1.01,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,4,9.903487553
1515,132110,1321,28000,40,0,0,2,1,7,0,5,47.48,0.35,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,2,10.23995979
1516,132111,1321,2000,35,0,0,1,2,3,0,3,40.41,-1.77,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,7.60090246
1517,132113,1321,13000,30,0,1,1,2,7,0,1,41.81,-1.09,4,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,9.472704636
1520,132117,1321,5000,35,0,1,2,2,7,0,2,40.14,-0.79,4,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,8.517193191
1526,132129,1321,700,25,0,0,4,2,6,1,6,57.71,-0.51,3,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,4,6.551080335
1530,132204,1322,25000,16,0,0,2,2,3,1,5,48.33,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,2,10.1266311
1532,132206,1322,35000,42,0,0,2,2,2,1,3,49.18,0.07,3,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,10.46310334
1534,132208,1322,300,40,0,0,8,1,3,1,3,48.02,0.8,3,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,1,0,0,0,5.703782475
1535,132209,1322,60000,36,0,0,8,2,7,0,6,63.23,1.54,3,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7,0,0,0,0,1,4,11.00209984
1544,132219,1322,30000,40,0,0,1,1,7,0,2,28.28,-1.26,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,10.30895266
1545,132220,1322,500,30,0,1,1,2,3,1,3,31.08,-1.28,3,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,6.214608098
1546,132221,1322,12000,40,0,0,4,1,3,1,3,52.62,-1.02,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,9.392661929
1549,132224,1322,29000,50,0,0,2,1,3,0,3,44.18,-0.96,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,10.27505111
1552,132227,1322,19000,40,0,0,3,1,3,1,3,42.67,0.05,3,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,9.852194258
1556,132233,1322,52000,36,0,0,5,2,3,1,6,41.53,-0.4,3,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,4,10.858999
1558,132235,1322,75000,60,0,0,2,1,3,1,3,44.94,-0.76,3,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,11.22524339
1564,133106,1331,18000,40,0,0,6,2,7,0,6,60.58,0.69,3,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,9.798127037
1567,133109,1331,63000,50,0,0,7,2,7,0,6,46.46,0.98,3,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,0,0,0,0,1,4,11.05089001
1570,133112,1331,15000,40,0,0,3,2,7,0,2,43.71,-0.2,4,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,9.61580548
1572,133114,1331,15000,50,0,0,2,1,7,0,6,46.06,0.13,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,1,4,9.61580548
1574,133117,1331,36000,40,0,0,3,2,7,1,6,59.53,-0.4,3,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,10.49127422
1575,133118,1331,55000,40,0,0,3,1,5,0,6,69.74,0.59,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,4,10.91508846
1578,133121,1331,13000,32,0,0,5,1,7,1,6,69.26,0.13,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7,0,0,0,0,1,4,9.472704636
1579,133122,1331,34000,38,0,0,2,2,7,0,2,50.66,-0.22,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,10.4341158
1580,133124,1331,38000,40,0,0,5,1,7,1,3,59.01,0.03,3,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,10.54534144
1585,133131,1331,34000,50,0,0,5,1,7,0,5,44.96,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,2,10.4341158
1586,133132,1331,15000,36,0,0,3,1,4,0,2,45.38,-0.34,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,9.61580548
1589,133202,1332,3000,25,0,0,2,2,7,1,5,53.97,0.31,3,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,2,8.006367568
1593,133209,1332,40000,40,0,0,2,2,7,0,2,40.83,-0.33,4,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,10.59663473
1596,133214,1332,35000,35,0,0,2,1,7,0,6,48.14,-0.85,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,10.46310334
1598,133217,1332,23000,40,0,0,2,1,6,0,2,40.28,-0.51,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,10.04324949
1611,134103,1341,4000,20,0,0,2,1,7,0,2,32.62,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,0,8.29404964
1613,134105,1341,26000,40,0,0,5,2,3,1,6,52.42,-0.47,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,4,10.16585182
1615,134107,1341,700,22,0,0,2,2,3,0,3,31.78,-0.52,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,1,0,0,0,6.551080335
