,STU_ID,SCH_ID,F3ERN2011,F3C02,F3EVRGED,F3EVERDO,BYMOTHED,BYS14,BYRACE,BYP61,F3ATTAINMENT,BYTXCSTD,BYSES1,F3JUNEDSTAT,F3REGION,F3B35,female,no_parent,moth_ed_1,moth_ed_2,moth_ed_3,moth_ed_4,moth_ed_5,moth_ed_6,moth_ed_7,moth_ed_8,region_1,region_2,region_3,region_4,high_school_grad,ged,BYRACE2,Other,Asian,Black,Hispanic,White,post_sec_edu,income_log
214,105106,1051,10000,30,0,1,2,2,7,1,1,54.46,-0.28,4,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,9.210340372
215,105107,1051,35000,40,0,0,2,1,7,0,6,63.87,0.73,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.46310334
220,105112,1051,38000,40,0,0,7,1,7,0,6,54.25,1.13,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.54534144
222,105114,1051,3500,20,0,0,1,2,7,1,2,49.75,-0.93,4,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,8.160518247
223,105115,1051,65000,60,0,0,2,2,7,0,8,49.92,-0.25,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,6,11.08214255
229,105121,1051,26000,28,0,0,2,2,7,0,2,54.88,-0.65,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.16585182
231,105123,1051,33000,42,0,0,3,1,7,1,6,52.43,0.34,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,4,10.40426284
235,105127,1051,9000,30,0,0,2,2,7,1,5,41.91,-0.68,3,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,2,9.104979856
239,105132,1051,32000,65,0,0,2,1,7,1,3,56.49,-0.49,3,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.37349118
244,105202,1052,23000,60,0,0,2,2,7,0,6,50.16,-0.43,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,1,4,10.04324949
245,105205,1052,35000,32,0,0,2,2,7,0,4,53.94,-0.84,3,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,1,10.46310334
246,105207,1052,75000,40,0,0,2,2,7,0,2,37.46,-1.18,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,11.22524339
248,105209,1052,55000,50,0,0,2,1,7,0,3,49.99,-0.82,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,1,0,10.91508846
250,105213,1052,45000,30,0,0,6,2,4,1,6,41.93,-0.45,3,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,0,0,1,0,4,10.71441777
