,income_sum,female_sum,male_sum,moth_ed_1_sum,moth_ed_2_sum,moth_ed_3_sum,moth_ed_4_sum,moth_ed_5_sum,moth_ed_6_sum,moth_ed_7_sum,moth_ed_8_sum,region_1_sum,region_2_sum,region_3_sum,region_4_sum,high_school_grad_sum,ged_sum,overall_sum,dropout_sum,BYTXCSTD_sum,BYSES1_sum,hours_worked_sum,Other_sum,Asian_sum,Black_sum,Hispanic_sum,White_sum,Non-White_sum,post_sec_edu_sum,income_mean,female_mean,male_mean,moth_ed_1_mean,moth_ed_2_mean,moth_ed_3_mean,moth_ed_4_mean,moth_ed_5_mean,moth_ed_6_mean,moth_ed_7_mean,moth_ed_8_mean,region_1_mean,region_2_mean,region_3_mean,region_4_mean,high_school_grad_mean,ged_mean,overall_mean,dropout_mean,BYTXCSTD_mean,BYSES1_mean,hours_worked_mean,Other_mean,Asian_mean,Black_mean,Hispanic_mean,White_mean,Non-White_mean,post_sec_edu_mean
overall,189787130.0,3043.0,2933.0,546.0,1520.0,688.0,698.0,669.0,1257.0,482.0,116.0,1044.0,1468.0,2231.0,1233.0,5504.0,227.0,5976.0,261.0,316665.46,972.9399999999998,245942.0,296.0,426.0,539.0,726.0,3989.0,1987.0,14553.0,31758.22121820616,0.5092034805890228,0.49079651941097724,0.09136546184738956,0.2543507362784471,0.11512717536813923,0.11680053547523427,0.11194779116465864,0.2103413654618474,0.08065595716198126,0.019410977242302542,0.1746987951807229,0.24564926372155288,0.37332663989290493,0.2063253012048193,0.9210174029451138,0.037985274431057564,1.0,0.043674698795180725,52.98953480589023,0.16280789825970546,41.154953145917,0.049531459170013385,0.071285140562249,0.09019410977242302,0.1214859437751004,0.6675033467202142,0.33249665327978584,2.4352409638554215
female,87403275.0,3043.0,0.0,289.0,797.0,352.0,331.0,358.0,625.0,230.0,61.0,525.0,750.0,1155.0,613.0,2859.0,84.0,3043.0,104.0,162265.37,463.33,119126.0,155.0,218.0,280.0,358.0,2032.0,1011.0,8400.0,28722.73250082156,1.0,0.0,0.09497206703910614,0.2619125862635557,0.11567532040749261,0.10877423595136379,0.11764705882352941,0.20538941833716726,0.07558330594807755,0.020046007229707525,0.1725271114032205,0.24646730200460074,0.3795596450870851,0.20144594150509365,0.9395333552415379,0.027604337824515282,1.0,0.034176799211304634,53.32414393690437,0.15226092671705554,39.147551758133424,0.05093657574761748,0.07163982911600394,0.09201445941505093,0.11764705882352941,0.6677620768977982,0.3322379231022018,2.760433782451528
male,102383855.0,0.0,2933.0,257.0,723.0,336.0,367.0,311.0,632.0,252.0,55.0,519.0,718.0,1076.0,620.0,2645.0,143.0,2933.0,157.0,154400.09,509.61,126816.0,141.0,208.0,259.0,368.0,1957.0,976.0,6153.0,34907.553699284006,0.0,1.0,0.0876235935901807,0.2465052846914422,0.11455847255369929,0.12512785543811797,0.1060347766791681,0.21547903170814867,0.08591885441527446,0.018752130923968633,0.17695192635526763,0.24480054551653596,0.3668598704398227,0.21138765768837367,0.9018070235254007,0.04875554040231844,1.0,0.053528810092055915,52.64237640640982,0.17375042618479372,43.23764064098193,0.04807364473235595,0.07091714967609955,0.0883054892601432,0.12546880327309923,0.6672349130583021,0.33276508694169793,2.0978520286396183
white,131354665.0,2032.0,1957.0,149.0,1040.0,467.0,481.0,458.0,935.0,378.0,81.0,762.0,1163.0,1461.0,603.0,3770.0,125.0,3989.0,103.0,218860.96,1222.8999999999999,165701.0,0.0,0.0,0.0,0.0,3989.0,0.0,10483.0,32929.22160942592,0.5094008523439458,0.49059914765605417,0.03735271997994485,0.2607169716720983,0.11707194785660567,0.12058159939834545,0.11481574329405866,0.2343945851090499,0.09476059162697417,0.02030584106292304,0.1910253196289797,0.2915517673602407,0.36625720732013034,0.1511657056906493,0.9450990223113562,0.031336174479819505,1.0,0.025821007771371272,54.86612183504638,0.30656806217097016,41.53948357984457,0.0,0.0,0.0,0.0,1.0,0.0,2.6279769365755827
Non-White,58432465.0,1011.0,976.0,397.0,480.0,221.0,217.0,211.0,322.0,104.0,35.0,282.0,305.0,770.0,630.0,1734.0,102.0,1987.0,158.0,97804.5,-249.95999999999998,80241.0,296.0,426.0,539.0,726.0,0.0,1987.0,4070.0,29407.380473074987,0.5088072471061902,0.49119275289380976,0.19979869149471566,0.24157020634121792,0.11122294916960242,0.10920986411675894,0.10619023653749371,0.16205334675390035,0.05234021137393055,0.017614494212380472,0.14192249622546552,0.15349773527931554,0.3875188726723704,0.3170608958228485,0.8726723704076498,0.051333668847508805,1.0,0.07951685958731756,49.222194262707596,-0.1257976849521892,40.38298943130347,0.14896829391041772,0.2143935581278309,0.2712632108706593,0.3653749370910921,0.0,1.0,2.0483140412682435
